# t [s], p1 [Pa], p2 [Pa], mobA [kg], immA [kg], dissA [kg], sealA [kg], mobB [kg], immB [kg], dissB [kg], sealB [kg], M_C [m], sealTot [kg], boundTot [kg]
0.0, 2.822376391637745e7, 2.2408186362090778e7, 0.0, 0.0, 0.1365498243564839, 0.012866253963300961, 0.0, 0.0, 0.0868214925192921, 0.010538077434698966, NaN, 0.5602615999729833, 3.876103679748695
1.5768e7, 2.822376298975566e7, 2.2408185600216463e7, 0.0, 0.0, 0.13654982249469227, 0.012866254161382068, 0.0, 0.0, 0.08682149738374209, 0.01053807771855539, NaN, 0.5602616020507919, 3.8761036808881446
3.1536e7, 2.845614027858178e7, 2.243071641835242e7, 0.0, 0.0, 0.13757635747870336, 0.01286691004771991, 0.0, 0.0, 0.0868230852822069, 0.010538194333956018, NaN, 0.560857574356799, 3.8762204378366696
4.7304e7, 2.8632360912424307e7, 2.2468796163580768e7, 0.0, 0.0, 0.14567156330295986, 0.012867546510654821, 0.0, 0.0, 0.08682509142167714, 0.010538383231315267, NaN, 0.6789106625032589, 3.8763438916558774
6.3072e7, 2.8788500499505974e7, 2.2519472317929056e7, 0.0, 0.0, 0.17469078617344277, 0.01286815520511697, 0.0, 0.0, 0.0868274144715118, 0.01053862631106557, NaN, 7.5525682311356475, 3.876469142932979
7.884e7, 2.8930408405482978e7, 2.258031865509561e7, 0.0, 0.0, 0.24854337796745204, 0.012868811296780847, 0.0, 0.0, 0.08682995992605687, 0.010538909518316607, NaN, 26.29505917925521, 3.876594878882698
9.4608e7, 2.907039020560378e7, 2.2650123306961834e7, 0.0, 0.0, 0.42468733043644236, 0.012871035047641756, 0.0, 0.0, 0.08683272540090341, 0.010539226786334736, NaN, 53.12353212794263, 3.8767251857739797
1.10376e8, 2.920148249871579e7, 2.2726997259599857e7, 0.0, 0.0, 0.8104191130066727, 0.012887814949816858, 0.0, 0.0, 0.08683562950244955, 0.010539569164594843, NaN, 86.94340562582218, 3.8768564127899667
1.26144e8, 2.932984021766582e7, 2.2809790878420852e7, 0.0, 0.0, 1.8450159104618962, 0.01301725045490253, 0.0, 0.0, 0.08683866057021342, 0.010539932183701537, NaN, 182.3103556260209, 3.876989967806066
1.41912e8, 2.9452306620419607e7, 2.2897176625377566e7, 0.0, 0.0, 8.34412487570823, 0.014613125771888695, 0.0, 0.0, 0.08684177312467085, 0.010540310394717556, NaN, 409.0607431954517, 3.877123931102333
